year,country,institution,uni_rank,uni_score,score_gap_parent,entered_top100_parent,top_uni_parent
2019,Switzerland,University of Geneva,108,58.4,35.0,1,ETH Zurich - Swiss Federal Institute of Technology
2019,Switzerland,University of Bern,139,51.1,35.0,1,ETH Zurich - Swiss Federal Institute of Technology
2019,Switzerland,University of St.Gallen (HSG),375,29.3,35.0,1,ETH Zurich - Swiss Federal Institute of Technology
2019,Singapore,"Nanyang Technological University, Singapore (NTU)",12,91.3,31.7,1,National University of Singapore (NUS)
2019,China (Mainland),Peking University,30,82.6,26.9,1,Tsinghua University
2019,China (Mainland),Fudan University,44,77.6,26.9,1,Tsinghua University
2019,China (Mainland),Zhejiang University,68,67.5,26.9,1,Tsinghua University
2019,China (Mainland),University of Science and Technology of China,98,60.8,26.9,1,Tsinghua University
2019,China (Mainland),Tongji University,291,34.9,26.9,1,Tsinghua University
2019,China (Mainland),Jilin University,475,24.8,26.9,1,Tsinghua University
2019,Japan,Kyoto University,35,81.2,25.0,1,The University of Tokyo
2019,Japan,Tokyo Institute of Technology (Tokyo Tech),58,71.0,25.0,1,The University of Tokyo
2019,Japan,Osaka University,67,67.7,25.0,1,The University of Tokyo
2019,Japan,Tohoku University,77,64.3,25.0,1,The University of Tokyo
2019,Japan,Nagoya University,111,57.3,25.0,1,The University of Tokyo
2019,Japan,Keio University,198,44.1,25.0,1,The University of Tokyo
2019,Japan,Yokohama City University,460,25.4,25.0,1,The University of Tokyo
2019,Australia,The University of Melbourne,39,80.1,24.1,1,The Australian National University
2019,Australia,The University of Sydney,42,78.3,24.1,1,The Australian National University
2019,Australia,The University of New South Wales (UNSW Sydney),45,77.0,24.1,1,The Australian National University
2019,Australia,The University of Queensland,48,75.7,24.1,1,The Australian National University
2019,Australia,The University of Western Australia,91,62.2,24.1,1,The Australian National University
2019,Australia,The University of Adelaide,114,56.6,24.1,1,The Australian National University
2019,Australia,University of Tasmania,287,35.2,24.1,1,The Australian National University
2019,Australia,Deakin University,309,34.0,24.1,1,The Australian National University
2019,Hong Kong SAR,The Hong Kong University of Science and Technology,37,80.5,24.0,1,The University of Hong Kong
2019,Hong Kong SAR,The Chinese University of Hong Kong (CUHK),49,75.6,24.0,1,The University of Hong Kong
2019,Hong Kong SAR,City University of Hong Kong,55,72.1,24.0,1,The University of Hong Kong
2019,Hong Kong SAR,The Hong Kong Polytechnic University,106,59.1,24.0,1,The University of Hong Kong
2019,Canada,McGill University,33,81.7,22.7,1,University of Toronto
2019,Canada,University of British Columbia,47,75.8,22.7,1,University of Toronto
2019,Canada,University of Alberta,109,58.1,22.7,1,University of Toronto
2019,Canada,McMaster University,146,50.1,22.7,1,University of Toronto
2019,Canada,University of Calgary,229,40.4,22.7,1,University of Toronto
2019,South Korea,KAIST - Korea Advanced Institute of Science & Technology,40,78.7,20.3,1,Seoul National University
2019,South Korea,Korea University,86,62.7,20.3,1,Seoul National University
2019,South Korea,Yonsei University,107,58.9,20.3,1,Seoul National University
2019,France,Ecole Polytechnique,65,67.9,14.8,1,Université PSL
2019,France,CentraleSupélec,137,51.5,14.8,1,Université PSL
2019,France,École Normale Supérieure de Lyon,153,49.2,14.8,1,Université PSL
2019,France,Ecole des Ponts ParisTech,263,37.0,14.8,1,Université PSL
2019,France,ENS Paris-Saclay,305,34.3,14.8,1,Université PSL
2019,France,Université de Strasbourg,348,31.3,14.8,1,Université PSL
2019,Netherlands,University of Amsterdam,57,71.1,13.0,1,Delft University of Technology
2019,Netherlands,Eindhoven University of Technology,99,59.8,13.0,1,Delft University of Technology
2019,Netherlands,University of Groningen,120,55.2,13.0,1,Delft University of Technology
2019,Netherlands,Utrecht University,124,54.5,13.0,1,Delft University of Technology
2019,Netherlands,Wageningen University & Research,125,54.4,13.0,1,Delft University of Technology
2019,Netherlands,Erasmus University Rotterdam ,179,46.1,13.0,1,Delft University of Technology
2019,Netherlands,Maastricht University ,211,42.5,13.0,1,Delft University of Technology
2019,Germany,Ludwig-Maximilians-Universität München,62,69.4,9.7,1,Technical University of Munich
2019,Germany,Ruprecht-Karls-Universität Heidelberg,64,68.0,9.7,1,Technical University of Munich
2019,Germany,"KIT, Karlsruhe Institute of Technology",116,55.9,9.7,1,Technical University of Munich
2019,Germany,Humboldt-Universität zu Berlin,121,55.1,9.7,1,Technical University of Munich
2019,Germany,Freie Universitaet Berlin,130,53.4,9.7,1,Technical University of Munich
2019,Germany,RWTH Aachen University,144,50.4,9.7,1,Technical University of Munich
2019,Germany,Technische Universität Berlin (TU Berlin),147,49.9,9.7,1,Technical University of Munich
2019,Germany,Eberhard Karls Universität Tübingen,168,47.6,9.7,1,Technical University of Munich
2019,Germany,Technische Universität Dresden,191,44.9,9.7,1,Technical University of Munich
2019,Germany,University of Göttingen,197,44.3,9.7,1,Technical University of Munich
2019,Germany,Rheinische Friedrich-Wilhelms-Universität Bonn,255,37.7,9.7,1,Technical University of Munich
2019,Germany,Ruhr-Universität Bochum,372,29.6,9.7,1,Technical University of Munich
2019,Taiwan,National Cheng Kung University (NCKU),234,39.4,6.0,1,National Taiwan University (NTU)
2019,Taiwan,National Taiwan Normal University,308,34.1,6.0,1,National Taiwan University (NTU)
2019,Taiwan,Taipei Medical University (TMU),362,30.2,6.0,1,National Taiwan University (NTU)
2019,Belgium,Ghent University,138,51.3,3.1,1,KU Leuven
2019,Belgium,Université catholique de Louvain (UCLouvain),165,47.9,3.1,1,KU Leuven
2019,Belgium,Vrije Universiteit Brussel (VUB),188,45.2,3.1,1,KU Leuven
2019,New Zealand,University of Waikato,274,36.0,2.5,1,The University of Auckland
2019,Russia,Saint Petersburg State University,235,39.2,2.0,1,Lomonosov Moscow State University
2019,Russia,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),312,33.6,2.0,1,Lomonosov Moscow State University
2019,Russia,Peter the Great St. Petersburg Polytechnic University,404,28.0,2.0,1,Lomonosov Moscow State University
2019,Sweden,Uppsala University,117,55.8,1.8,1,Lund University
2019,Finland,Aalto University,140,50.8,-2.4,0,University of Helsinki
2019,Finland,Tampere University of Technology ,366,30.0,-2.4,0,University of Helsinki
2019,Mexico,Tecnológico de Monterrey,178,46.2,-3.5,0,Universidad Nacional Autónoma de México  (UNAM)
